----------------------  ------------------------------
morning.no,"            ('Genesis', '19', '2')
sodom-both              ('Genesis', '19', '4')
old-surrounded          ('Genesis', '19', '4')
tonight?                ('Genesis', '19', '5')
roof."                  ('Genesis', '19', '8')
way,"                   ('Genesis', '19', '9')
judge!                  ('Genesis', '19', '9')
here-sons-in-law,       ('Genesis', '19', '12')
sons-in-law,            ('Genesis', '19', '14')
"hurry                  ('Genesis', '19', '14')
city!"                  ('Genesis', '19', '14')
sons-in-law             ('Genesis', '19', '14')
joking.                 ('Genesis', '19', '14')
punished."              ('Genesis', '19', '15')
hesitated,              ('Genesis', '19', '16')
plain!                  ('Genesis', '19', '17')
please!                 ('Genesis', '19', '18')
it-it                   ('Genesis', '19', '20')
gomorrah-from           ('Genesis', '19', '24')
cities-and              ('Genesis', '19', '25')
"last                   ('Genesis', '19', '34')
ben-ammi;               ('Genesis', '19', '38')
brother'?               ('Genesis', '20', '5')
kingdom?                ('Genesis', '20', '9')
brother."'"             ('Genesis', '20', '13')
like."                  ('Genesis', '20', '15')
vindicated."            ('Genesis', '20', '16')
reckoned.               ('Genesis', '21', '12')
bushes.                 ('Genesis', '21', '15')
bowshot                 ('Genesis', '21', '16')
sob.                    ('Genesis', '21', '16')
hagar?                  ('Genesis', '21', '17')
archer.                 ('Genesis', '21', '20')
paran,                  ('Genesis', '21', '21')
seized.                 ('Genesis', '21', '25')
themselves?"            ('Genesis', '21', '29')
"abraham!here           ('Genesis', '22', '1')
moriah.                 ('Genesis', '22', '2')
knife.                  ('Genesis', '22', '6')
"father?yes,            ('Genesis', '22', '7')
offering?"              ('Genesis', '22', '7')
"abraham!               ('Genesis', '22', '11')
abraham!here            ('Genesis', '22', '11')
provide.                ('Genesis', '22', '14')
"milcah                 ('Genesis', '22', '20')
nahor:                  ('Genesis', '22', '20')
aram),                  ('Genesis', '22', '21')
kesed,                  ('Genesis', '22', '22')
hazo,                   ('Genesis', '22', '22')
pildash,                ('Genesis', '22', '22')
jidlaph                 ('Genesis', '22', '22')
bethuel."               ('Genesis', '22', '22')
reumah,                 ('Genesis', '22', '24')
tebah,                  ('Genesis', '22', '24')
gaham,                  ('Genesis', '22', '24')
tahash                  ('Genesis', '22', '24')
hittites:               ('Genesis', '23', '16')
current                 ('Genesis', '23', '16')
merchants.              ('Genesis', '23', '16')
mamre-both              ('Genesis', '23', '17')
field-was               ('Genesis', '23', '17')
land'-he                ('Genesis', '24', '7')
townspeople             ('Genesis', '24', '13')
drink,'                 ('Genesis', '24', '14')
too'-let                ('Genesis', '24', '14')
milcah,                 ('Genesis', '24', '15')
virgin;                 ('Genesis', '24', '16')
jar."                   ('Genesis', '24', '17')
trough,                 ('Genesis', '24', '20')
nahor."                 ('Genesis', '24', '24')
fodder,                 ('Genesis', '24', '25')
camels."                ('Genesis', '24', '31')
unloaded.               ('Genesis', '24', '32')
say.then                ('Genesis', '24', '33')
owns.                   ('Genesis', '24', '36')
spring;                 ('Genesis', '24', '43')
jar,"                   ('Genesis', '24', '43')
too,"                   ('Genesis', '24', '44')
too.'                   ('Genesis', '24', '46')
'whose                  ('Genesis', '24', '47')
you?'"she               ('Genesis', '24', '47')
him.'"then              ('Genesis', '24', '47')
turn."                  ('Genesis', '24', '49')
directed."              ('Genesis', '24', '51')
man?i                   ('Genesis', '24', '58')
roi,                    ('Genesis', '24', '62')
meditate,               ('Genesis', '24', '63')
us?he                   ('Genesis', '24', '65')
master,"                ('Genesis', '24', '65')
jokshan                 ('Genesis', '25', '3')
dedan;                  ('Genesis', '25', '3')
asshurites,             ('Genesis', '25', '3')
letushites              ('Genesis', '25', '3')
leummites.              ('Genesis', '25', '3')
roi.                    ('Genesis', '25', '11')
birth:                  ('Genesis', '25', '13')
aramean.                ('Genesis', '25', '20')
pregnant.               ('Genesis', '25', '21')
jostled                 ('Genesis', '25', '22')
separated;              ('Genesis', '25', '23')
famished.               ('Genesis', '25', '29')
stew!                   ('Genesis', '25', '30')
famished!"              ('Genesis', '25', '30')
birthright."            ('Genesis', '25', '31')
lentil                  ('Genesis', '25', '34')
stew.                   ('Genesis', '25', '34')
birthright.             ('Genesis', '25', '34')
land-besides            ('Genesis', '26', '1')
time-and                ('Genesis', '26', '1')
beautiful."             ('Genesis', '26', '7')
caressing               ('Genesis', '26', '8')
sister'?"               ('Genesis', '26', '9')
molests                 ('Genesis', '26', '11')
hundredfold,            ('Genesis', '26', '12')
reopened                ('Genesis', '26', '18')
ours!"                  ('Genesis', '26', '20')
esek,                   ('Genesis', '26', '20')
disputed                ('Genesis', '26', '20')
also;                   ('Genesis', '26', '21')
sitnah.                 ('Genesis', '26', '21')
rehoboth,               ('Genesis', '26', '22')
ahuzzath                ('Genesis', '26', '26')
us'-between             ('Genesis', '26', '28')
dug.                    ('Genesis', '26', '32')
water!"                 ('Genesis', '26', '32')
shibah,                 ('Genesis', '26', '33')
judith                  ('Genesis', '26', '34')
son.here                ('Genesis', '27', '1')
weapons-your            ('Genesis', '27', '3')
bow-and                 ('Genesis', '27', '3')
skin.                   ('Genesis', '27', '11')
tricking                ('Genesis', '27', '12')
goatskins.              ('Genesis', '27', '16')
father.yes,             ('Genesis', '27', '18')
son?the                 ('Genesis', '27', '20')
success,"               ('Genesis', '27', '20')
esau;                   ('Genesis', '27', '23')
esau?"                  ('Genesis', '27', '24')
ate;                    ('Genesis', '27', '25')
heaven's                ('Genesis', '27', '28')
richness-               ('Genesis', '27', '28')
hunting.                ('Genesis', '27', '30')
him-and                 ('Genesis', '27', '33')
blessed!"               ('Genesis', '27', '33')
"bless                  ('Genesis', '27', '34')
me-me                   ('Genesis', '27', '34')
jacob?                  ('Genesis', '27', '36')
richness,               ('Genesis', '27', '39')
restless,               ('Genesis', '27', '40')
neck."                  ('Genesis', '27', '40')
consoling               ('Genesis', '27', '42')
subsides.               ('Genesis', '27', '44')
day?"                   ('Genesis', '27', '45')
disgusted               ('Genesis', '27', '46')
bethuel.                ('Genesis', '28', '2')
isaac;                  ('Genesis', '28', '8')
place!                  ('Genesis', '28', '17')
luz.                    ('Genesis', '28', '19')
tenth."                 ('Genesis', '28', '22')
well's                  ('Genesis', '29', '3')
from?we're              ('Genesis', '29', '4')
haran,"                 ('Genesis', '29', '4')
grandson?yes,           ('Genesis', '29', '5')
well?yes,               ('Genesis', '29', '6')
can't,"                 ('Genesis', '29', '8')
shepherdess.            ('Genesis', '29', '9')
uncle's                 ('Genesis', '29', '10')
rachel.                 ('Genesis', '29', '16')
rachel."                ('Genesis', '29', '18')
leah!                   ('Genesis', '29', '25')
i?                      ('Genesis', '29', '25')
bridal                  ('Genesis', '29', '27')
week;                   ('Genesis', '29', '27')
children?"              ('Genesis', '30', '2')
won."                   ('Genesis', '30', '8')
fortune!"               ('Genesis', '30', '11')
mandrake                ('Genesis', '30', '14')
"wasn't                 ('Genesis', '30', '15')
too?very                ('Genesis', '30', '15')
issachar.               ('Genesis', '30', '18')
rachel;                 ('Genesis', '30', '22')
anything,"              ('Genesis', '30', '31')
check                   ('Genesis', '30', '33')
dark-colored,           ('Genesis', '30', '33')
stolen."                ('Genesis', '30', '33')
them)                   ('Genesis', '30', '35')
fresh-cut               ('Genesis', '30', '37')
poplar,                 ('Genesis', '30', '37')
stripes                 ('Genesis', '30', '37')
peeling                 ('Genesis', '30', '37')
exposing                ('Genesis', '30', '37')
peeled                  ('Genesis', '30', '38')
troughs,                ('Genesis', '30', '38')
mated                   ('Genesis', '30', '39')
