----------------------  ------------------------------
rocks."                 ('Jeremiah', '13', '4')
perath,                 ('Jeremiah', '13', '5')
belt-completely         ('Jeremiah', '13', '10')
useless!                ('Jeremiah', '13', '10')
listened.'              ('Jeremiah', '13', '11')
wine.'                  ('Jeremiah', '13', '12')
wine?'                  ('Jeremiah', '13', '12')
darkening               ('Jeremiah', '13', '16')
pride;                  ('Jeremiah', '13', '17')
heads."                 ('Jeremiah', '13', '18')
boasted?                ('Jeremiah', '13', '20')
allies?                 ('Jeremiah', '13', '21')
me?"-                   ('Jeremiah', '13', '22')
mistreated.             ('Jeremiah', '13', '22')
spots?                  ('Jeremiah', '13', '23')
seen-                   ('Jeremiah', '13', '26')
adulteries              ('Jeremiah', '13', '27')
neighings,              ('Jeremiah', '13', '27')
shameless               ('Jeremiah', '13', '27')
prostitution!           ('Jeremiah', '13', '27')
unclean?"               ('Jeremiah', '13', '27')
drought:                ('Jeremiah', '14', '1')
languish;               ('Jeremiah', '14', '2')
unfilled;               ('Jeremiah', '14', '3')
despairing,             ('Jeremiah', '14', '3')
fawn                    ('Jeremiah', '14', '5')
eyesight                ('Jeremiah', '14', '6')
surprise,               ('Jeremiah', '14', '9')
wander;                 ('Jeremiah', '14', '10')
plague."                ('Jeremiah', '14', '12')
divinations,            ('Jeremiah', '14', '14')
idolatries              ('Jeremiah', '14', '14')
minds.                  ('Jeremiah', '14', '14')
ceasing;                ('Jeremiah', '14', '17')
daughter-my             ('Jeremiah', '14', '17')
ravages                 ('Jeremiah', '14', '18')
not.'"                  ('Jeremiah', '14', '18')
completely?             ('Jeremiah', '14', '19')
healed?                 ('Jeremiah', '14', '19')
rain?                   ('Jeremiah', '14', '22')
showers?                ('Jeremiah', '14', '22')
presence!               ('Jeremiah', '15', '1')
go?'                    ('Jeremiah', '15', '2')
"'those                 ('Jeremiah', '15', '2')
starvation,             ('Jeremiah', '15', '2')
starvation;             ('Jeremiah', '15', '2')
captivity.'             ('Jeremiah', '15', '2')
are?                    ('Jeremiah', '15', '5')
backsliding.            ('Jeremiah', '15', '6')
enemies,"               ('Jeremiah', '15', '9')
contends!               ('Jeremiah', '15', '10')
lent                    ('Jeremiah', '15', '10')
borrowed,               ('Jeremiah', '15', '10')
iron-                   ('Jeremiah', '15', '12')
north-or                ('Jeremiah', '15', '12')
persecutors.            ('Jeremiah', '15', '15')
long-suffering-do       ('Jeremiah', '15', '15')
revelers,               ('Jeremiah', '15', '17')
unending                ('Jeremiah', '15', '18')
incurable?              ('Jeremiah', '15', '18')
fails?                  ('Jeremiah', '15', '18')
spokesman.              ('Jeremiah', '15', '19')
cruel."                 ('Jeremiah', '15', '21')
meal;                   ('Jeremiah', '16', '5')
mourned,                ('Jeremiah', '16', '6')
dead-not                ('Jeremiah', '16', '7')
mother-nor              ('Jeremiah', '16', '7')
god?'                   ('Jeremiah', '16', '10')
fishermen,"             ('Jeremiah', '16', '16')
hunters,                ('Jeremiah', '16', '16')
idols."                 ('Jeremiah', '16', '18')
gods!"                  ('Jeremiah', '16', '20')
"judah's                ('Jeremiah', '17', '1')
tool,                   ('Jeremiah', '17', '1')
point,                  ('Jeremiah', '17', '1')
wastelands;             ('Jeremiah', '17', '6')
cure.                   ('Jeremiah', '17', '9')
hatches                 ('Jeremiah', '17', '11')
fulfilled!"             ('Jeremiah', '17', '15')
fortresses.'"           ('Jeremiah', '17', '27')
does?"                  ('Jeremiah', '18', '6')
planned.                ('Jeremiah', '18', '8')
reconsider              ('Jeremiah', '18', '10')
devising                ('Jeremiah', '18', '11')
actions.'               ('Jeremiah', '18', '11')
plans;                  ('Jeremiah', '18', '12')
heart.'"                ('Jeremiah', '18', '12')
slopes?                 ('Jeremiah', '18', '14')
flow?                   ('Jeremiah', '18', '14')
bypaths                 ('Jeremiah', '18', '15')
disaster."              ('Jeremiah', '18', '17')
saying!                 ('Jeremiah', '18', '19')
widows;                 ('Jeremiah', '18', '21')
invaders                ('Jeremiah', '18', '22')
baal-something          ('Jeremiah', '19', '5')
mention,                ('Jeremiah', '19', '5')
lives.'                 ('Jeremiah', '19', '9')
repaired.               ('Jeremiah', '19', '11')
topheth.                ('Jeremiah', '19', '12')
topheth-all             ('Jeremiah', '19', '13')
words.'"                ('Jeremiah', '19', '15')
stocks,                 ('Jeremiah', '20', '3')
magor-missabib.         ('Jeremiah', '20', '3')
city-all                ('Jeremiah', '20', '5')
products,               ('Jeremiah', '20', '5')
valuables               ('Jeremiah', '20', '5')
lies.'"                 ('Jeremiah', '20', '6')
whispering,             ('Jeremiah', '20', '10')
"terror                 ('Jeremiah', '20', '10')
slip,                   ('Jeremiah', '20', '10')
prevail.                ('Jeremiah', '20', '11')
blessed!                ('Jeremiah', '20', '14')
maaseiah.               ('Jeremiah', '21', '1')
city-both               ('Jeremiah', '21', '6')
compassion.'            ('Jeremiah', '21', '7')
"furthermore,           ('Jeremiah', '21', '8')
surrenders              ('Jeremiah', '21', '9')
"'administer            ('Jeremiah', '21', '12')
refuge?"                ('Jeremiah', '21', '13')
throne-you,             ('Jeremiah', '22', '2')
robbed.                 ('Jeremiah', '22', '3')
ruin.'"                 ('Jeremiah', '22', '5')
exiled,                 ('Jeremiah', '22', '10')
place:                  ('Jeremiah', '22', '11')
captive;                ('Jeremiah', '22', '12')
unrighteousness,        ('Jeremiah', '22', '13')
rooms.'                 ('Jeremiah', '22', '14')
decorates               ('Jeremiah', '22', '14')
red.                    ('Jeremiah', '22', '14')
cedar?                  ('Jeremiah', '22', '15')
extortion."             ('Jeremiah', '22', '17')
brother!                ('Jeremiah', '22', '18')
sister!'                ('Jeremiah', '22', '18')
master!                 ('Jeremiah', '22', '18')
splendor!'              ('Jeremiah', '22', '18')
donkey-                 ('Jeremiah', '22', '19')
listen!'                ('Jeremiah', '22', '21')
'lebanon,               ('Jeremiah', '22', '23')
nestled                 ('Jeremiah', '22', '23')
labor!                  ('Jeremiah', '22', '23')
fear-to                 ('Jeremiah', '22', '25')
wants?                  ('Jeremiah', '22', '28')
"record                 ('Jeremiah', '22', '30')
pasture!"               ('Jeremiah', '23', '1')
missing,"               ('Jeremiah', '23', '4')
wisely                  ('Jeremiah', '23', '5')
adulterers;             ('Jeremiah', '23', '10')
unjustly.               ('Jeremiah', '23', '10')
godless;                ('Jeremiah', '23', '11')
slippery;               ('Jeremiah', '23', '12')
punished,"              ('Jeremiah', '23', '12')
horrible:               ('Jeremiah', '23', '14')
hopes.                  ('Jeremiah', '23', '16')
peace.'                 ('Jeremiah', '23', '17')
message;                ('Jeremiah', '23', '21')
nearby,"                ('Jeremiah', '23', '23')
dream!                  ('Jeremiah', '23', '25')
dream!'                 ('Jeremiah', '23', '25')
grain?"                 ('Jeremiah', '23', '28')
pieces?                 ('Jeremiah', '23', '29')
"therefore,"            ('Jeremiah', '23', '30')
supposedly              ('Jeremiah', '23', '30')
yes,"                   ('Jeremiah', '23', '31')
wag                     ('Jeremiah', '23', '31')
declares.'              ('Jeremiah', '23', '31')
least,"                 ('Jeremiah', '23', '32')
oracle?                 ('Jeremiah', '23', '33')
claims,                 ('Jeremiah', '23', '34')
relative:               ('Jeremiah', '23', '35')
answer?'                ('Jeremiah', '23', '35')
'again,                 ('Jeremiah', '23', '36')
disgrace-everlasting    ('Jeremiah', '23', '40')
forgotten."             ('Jeremiah', '23', '40')
early;                  ('Jeremiah', '24', '2')
jeremiah?figs,"         ('Jeremiah', '24', '3')
'like                   ('Jeremiah', '24', '5')
eaten,'                 ('Jeremiah', '24', '8')
byword,                 ('Jeremiah', '24', '9')
years-from              ('Jeremiah', '25', '3')
day-the                 ('Jeremiah', '25', '3')
guilt,"                 ('Jeremiah', '25', '12')
uz;                     ('Jeremiah', '25', '20')
(those                  ('Jeremiah', '25', '20')
ashdod);                ('Jeremiah', '25', '20')
ammon;                  ('Jeremiah', '25', '21')
media;                  ('Jeremiah', '25', '25')
other-all               ('Jeremiah', '25', '26')
mightily                ('Jeremiah', '25', '30')
sword,'"                ('Jeremiah', '25', '31')
everywhere-from         ('Jeremiah', '25', '33')
lair,                   ('Jeremiah', '25', '38')
omit                    ('Jeremiah', '26', '2')
listened),              ('Jeremiah', '26', '5')
deserted?"              ('Jeremiah', '26', '9')
ears!"                  ('Jeremiah', '26', '11')
assured,                ('Jeremiah', '26', '15')
"micah                  ('Jeremiah', '26', '18')
"'zion                  ('Jeremiah', '26', '18')
thickets.'              ('Jeremiah', '26', '18')
favor?                  ('Jeremiah', '26', '19')
ourselves!"             ('Jeremiah', '26', '19')
straps                  ('Jeremiah', '27', '2')
masters:                ('Jeremiah', '27', '4')
subjugate               ('Jeremiah', '27', '7')
"'"if,                  ('Jeremiah', '27', '8')
interpreters            ('Jeremiah', '27', '9')
lands;                  ('Jeremiah', '27', '10')
lord."'"                ('Jeremiah', '27', '11')
"bow                    ('Jeremiah', '27', '12')
babylon?                ('Jeremiah', '27', '13')
ruin?                   ('Jeremiah', '27', '17')
jerusalem-              ('Jeremiah', '27', '20')
babylon.'"              ('Jeremiah', '28', '4')
so!                     ('Jeremiah', '28', '6')
prediction              ('Jeremiah', '28', '9')
years.'"                ('Jeremiah', '28', '11')
shortly                 ('Jeremiah', '28', '12')
animals.'"              ('Jeremiah', '28', '14')
hananiah!               ('Jeremiah', '28', '15')
jerusalem.)             ('Jeremiah', '29', '2')
elasah                  ('Jeremiah', '29', '3')
decrease.               ('Jeremiah', '29', '6')
prosper."               ('Jeremiah', '29', '7')
"plans                  ('Jeremiah', '29', '11')
exile."                 ('Jeremiah', '29', '14')
exile-                  ('Jeremiah', '29', '16')
words,"                 ('Jeremiah', '29', '19')
"words                  ('Jeremiah', '29', '19')
kolaiah                 ('Jeremiah', '29', '21')
outrageous              ('Jeremiah', '29', '23')
neighbors'              ('Jeremiah', '29', '23')
nehelamite,             ('Jeremiah', '29', '24')
neck-irons.             ('Jeremiah', '29', '26')
reprimanded             ('Jeremiah', '29', '27')
poses                   ('Jeremiah', '29', '27')
produce.'"              ('Jeremiah', '29', '28')
exiles:                 ('Jeremiah', '29', '31')
nehelamite:             ('Jeremiah', '29', '31')
nehelamite              ('Jeremiah', '29', '32')
'write                  ('Jeremiah', '30', '2')
possess,'               ('Jeremiah', '30', '3')
"'cries                 ('Jeremiah', '30', '5')
heard-                  ('Jeremiah', '30', '5')
pale?                   ('Jeremiah', '30', '6')
'though                 ('Jeremiah', '30', '11')
unpunished.'            ('Jeremiah', '30', '11')
incurable,              ('Jeremiah', '30', '12')
remedy                  ('Jeremiah', '30', '13')
cure?                   ('Jeremiah', '30', '15')
devoured;               ('Jeremiah', '30', '16')
despoil.                ('Jeremiah', '30', '16')
wounds,'                ('Jeremiah', '30', '17')
outcast,                ('Jeremiah', '30', '17')
cares.'                 ('Jeremiah', '30', '17')
dwellings;              ('Jeremiah', '30', '18')
decreased;              ('Jeremiah', '30', '19')
loving-kindness.        ('Jeremiah', '31', '3')
expectant               ('Jeremiah', '31', '8')
weeping;                ('Jeremiah', '31', '9')
coastlands:             ('Jeremiah', '31', '10')
shepherd.'              ('Jeremiah', '31', '10')
bounty,"                ('Jeremiah', '31', '14')
"restrain               ('Jeremiah', '31', '16')
rewarded,"              ('Jeremiah', '31', '16')
future,"                ('Jeremiah', '31', '17')
moaning:                ('Jeremiah', '31', '18')
strayed,                ('Jeremiah', '31', '19')
repented;               ('Jeremiah', '31', '19')
youth.'                 ('Jeremiah', '31', '19')
guideposts.             ('Jeremiah', '31', '21')
highway,                ('Jeremiah', '31', '21')
wander,                 ('Jeremiah', '31', '22')
daughter?               ('Jeremiah', '31', '22')
mountain.'              ('Jeremiah', '31', '23')
towns-farmers           ('Jeremiah', '31', '24')
plant,"                 ('Jeremiah', '31', '28')
edge.'                  ('Jeremiah', '31', '29')
grapes-his              ('Jeremiah', '31', '30')
greatest,"              ('Jeremiah', '31', '34')
sight,"                 ('Jeremiah', '31', '36')
goah.                   ('Jeremiah', '31', '39')
demolished."            ('Jeremiah', '31', '40')
succeed.'"              ('Jeremiah', '32', '5')
yourself.'"i            ('Jeremiah', '32', '8')
witnessed,              ('Jeremiah', '32', '10')
purchase-the            ('Jeremiah', '32', '11')
conditions,             ('Jeremiah', '32', '11')
copy-                   ('Jeremiah', '32', '11')
documents,              ('Jeremiah', '32', '14')
purchase,               ('Jeremiah', '32', '14')
transaction             ('Jeremiah', '32', '25')
witnessed.'"            ('Jeremiah', '32', '25')
done-they,              ('Jeremiah', '32', '32')
babylon';               ('Jeremiah', '32', '36')
singleness              ('Jeremiah', '32', '39')
assuredly               ('Jeremiah', '32', '41')
babylonians.'           ('Jeremiah', '32', '43')
signed,                 ('Jeremiah', '32', '44')
witnessed               ('Jeremiah', '32', '44')
know.'                  ('Jeremiah', '33', '3')
"'nevertheless,         ('Jeremiah', '33', '6')
before,'                ('Jeremiah', '33', '11')
animals-in              ('Jeremiah', '33', '12')
sacrifices.'"           ('Jeremiah', '33', '18')
servant-and             ('Jeremiah', '33', '21')
me-can                  ('Jeremiah', '33', '21')
seashore.'"             ('Jeremiah', '33', '22')
chose'?                 ('Jeremiah', '33', '24')
peacefully.             ('Jeremiah', '34', '5')
"alas,                  ('Jeremiah', '34', '5')
master!"                ('Jeremiah', '34', '5')
out-lachish             ('Jeremiah', '34', '7')
female;                 ('Jeremiah', '34', '9')
agreed,                 ('Jeremiah', '34', '10')
free.'                  ('Jeremiah', '34', '14')
sight:                  ('Jeremiah', '34', '15')
'freedom'               ('Jeremiah', '34', '17')
-'freedom'              ('Jeremiah', '34', '17')
habazziniah,            ('Jeremiah', '35', '3')
sons-the                ('Jeremiah', '35', '3')
recabites.              ('Jeremiah', '35', '3')
igdaliah                ('Jeremiah', '35', '4')
doorkeeper.             ('Jeremiah', '35', '4')
'neither                ('Jeremiah', '35', '6')
nomads.'                ('Jeremiah', '35', '7')
armies.'                ('Jeremiah', '35', '11')
words?'                 ('Jeremiah', '35', '13')
forefather's            ('Jeremiah', '35', '14')
actions;                ('Jeremiah', '35', '15')
answer.'"               ('Jeremiah', '35', '17')
recabites,              ('Jeremiah', '35', '18')
ordered.'               ('Jeremiah', '35', '18')
restricted;             ('Jeremiah', '36', '5')
dictated.               ('Jeremiah', '36', '6')
gemariah,               ('Jeremiah', '36', '11')
secretary's             ('Jeremiah', '36', '12')
sitting:                ('Jeremiah', '36', '12')
scroll."                ('Jeremiah', '36', '18')
apartment,              ('Jeremiah', '36', '22')
scribe's                ('Jeremiah', '36', '23')
firepot,                ('Jeremiah', '36', '23')
azriel                  ('Jeremiah', '36', '26')
abdeel                  ('Jeremiah', '36', '26')
jeremiah's              ('Jeremiah', '36', '27')
dictation,              ('Jeremiah', '36', '27')
listened.'"             ('Jeremiah', '36', '31')
dictated,               ('Jeremiah', '36', '32')
'pharaoh's              ('Jeremiah', '37', '7')
down.'                  ('Jeremiah', '37', '8')
babylonians."           ('Jeremiah', '37', '14')
lord?yes,"              ('Jeremiah', '37', '17')
prison?                 ('Jeremiah', '37', '18')
land'?                  ('Jeremiah', '37', '19')
bakers                  ('Jeremiah', '37', '21')
mattan,                 ('Jeremiah', '38', '1')
discouraging            ('Jeremiah', '38', '4')
cistern;                ('Jeremiah', '38', '6')
ebed-melech,            ('Jeremiah', '38', '7')
pad                     ('Jeremiah', '38', '12')
ropes."                 ('Jeremiah', '38', '12')
something,"             ('Jeremiah', '38', '14')
surrender,              ('Jeremiah', '38', '21')
misled                  ('Jeremiah', '38', '22')
mud;                    ('Jeremiah', '38', '22')
conversation,           ('Jeremiah', '38', '24')
taken:                  ('Jeremiah', '39', '1')
gate:                   ('Jeremiah', '39', '3')
samgar,                 ('Jeremiah', '39', '3')
nebo-sarsekim           ('Jeremiah', '39', '3')
fled;                   ('Jeremiah', '39', '4')
nebushazban             ('Jeremiah', '39', '13')
tanhumeth,              ('Jeremiah', '40', '8')
ephai                   ('Jeremiah', '40', '8')
baalis                  ('Jeremiah', '40', '14')
gedaliah's              ('Jeremiah', '41', '4')
assassination,          ('Jeremiah', '41', '4')
beards,                 ('Jeremiah', '41', '5')
ahikam."                ('Jeremiah', '41', '6')
mizpah-the              ('Jeremiah', '41', '10')
ahikam.                 ('Jeremiah', '41', '10')
nethaniah.              ('Jeremiah', '41', '12')
kareah.                 ('Jeremiah', '41', '14')
ahikam:                 ('Jeremiah', '41', '16')
geruth                  ('Jeremiah', '41', '17')
jezaniah                ('Jeremiah', '42', '1')
hoshaiah,               ('Jeremiah', '42', '1')
requested;              ('Jeremiah', '42', '4')
unfavorable,            ('Jeremiah', '42', '6')
bread,'                 ('Jeremiah', '42', '14')
reproach;               ('Jeremiah', '42', '18')
'pray                   ('Jeremiah', '42', '20')
settle."                ('Jeremiah', '42', '22')
god-everything          ('Jeremiah', '43', '1')
lying!                  ('Jeremiah', '43', '2')
neriah.                 ('Jeremiah', '43', '6')
unscathed.              ('Jeremiah', '43', '12')
egypt-in                ('Jeremiah', '44', '1')
migdol,                 ('Jeremiah', '44', '1')
hate!'                  ('Jeremiah', '44', '4')
remnant?                ('Jeremiah', '44', '7')
reproach.               ('Jeremiah', '44', '12')
fugitives."             ('Jeremiah', '44', '14')
present-a               ('Jeremiah', '44', '15')
assembly-and            ('Jeremiah', '44', '15')
would:                  ('Jeremiah', '44', '17')
heaven.'"go             ('Jeremiah', '44', '25')
vows!                   ('Jeremiah', '44', '25')
name,'                  ('Jeremiah', '44', '26')
'that                   ('Jeremiah', '44', '26')
stand-mine              ('Jeremiah', '44', '28')
place,'                 ('Jeremiah', '44', '29')
stand.'                 ('Jeremiah', '44', '29')
hophra                  ('Jeremiah', '44', '30')
dictating:              ('Jeremiah', '45', '1')
baruch:                 ('Jeremiah', '45', '2')
'woe                    ('Jeremiah', '45', '3')
steeds!                 ('Jeremiah', '46', '4')
on!                     ('Jeremiah', '46', '4')
polish                  ('Jeremiah', '46', '4')
armor!                  ('Jeremiah', '46', '4')
retreating,             ('Jeremiah', '46', '5')
waters?                 ('Jeremiah', '46', '7')
horses!                 ('Jeremiah', '46', '9')
charioteers!            ('Jeremiah', '46', '9')
warriors-               ('Jeremiah', '46', '9')
balm,                   ('Jeremiah', '46', '11')
remedies                ('Jeremiah', '46', '11')
migdol;                 ('Jeremiah', '46', '14')
tahpanhes:              ('Jeremiah', '46', '14')
low?                    ('Jeremiah', '46', '15')
repeatedly;             ('Jeremiah', '46', '16')
oppressor.'             ('Jeremiah', '46', '16')
'pharaoh                ('Jeremiah', '46', '17')
noise;                  ('Jeremiah', '46', '17')
missed                  ('Jeremiah', '46', '17')
opportunity.'           ('Jeremiah', '46', '17')
"egypt                  ('Jeremiah', '46', '20')
gadfly                  ('Jeremiah', '46', '20')
mercenaries             ('Jeremiah', '46', '21')
forest,"                ('Jeremiah', '46', '23')
"dense                  ('Jeremiah', '46', '23')
unpunished."            ('Jeremiah', '46', '28')
gaza:                   ('Jeremiah', '47', '1')
steeds,                 ('Jeremiah', '47', '3')
rumble                  ('Jeremiah', '47', '3')
caphtor.                ('Jeremiah', '47', '4')
"'ah,                   ('Jeremiah', '47', '6')
still.'                 ('Jeremiah', '47', '6')
coast?"                 ('Jeremiah', '47', '7')
nebo,                   ('Jeremiah', '48', '1')
downfall:               ('Jeremiah', '48', '2')
madmen,                 ('Jeremiah', '48', '2')
silenced;               ('Jeremiah', '48', '2')
waste;                  ('Jeremiah', '48', '9')
lax                     ('Jeremiah', '48', '10')
work!                   ('Jeremiah', '48', '10')
"moab                   ('Jeremiah', '48', '11')
unchanged.              ('Jeremiah', '48', '11')
jugs.                   ('Jeremiah', '48', '12')
chemosh,                ('Jeremiah', '48', '13')
battle'?                ('Jeremiah', '48', '14')
invaded;                ('Jeremiah', '48', '15')
slaughter,"             ('Jeremiah', '48', '15')
scepter,                ('Jeremiah', '48', '17')
staff!'                 ('Jeremiah', '48', '17')
aroer.                  ('Jeremiah', '48', '19')
escaping,               ('Jeremiah', '48', '19')
happened?'              ('Jeremiah', '48', '19')
plateau-                ('Jeremiah', '48', '21')
jahzah                  ('Jeremiah', '48', '21')
diblathaim,             ('Jeremiah', '48', '22')
gamul                   ('Jeremiah', '48', '23')
bozrah-                 ('Jeremiah', '48', '24')
wallow                  ('Jeremiah', '48', '26')
vomit;                  ('Jeremiah', '48', '26')
ridicule.               ('Jeremiah', '48', '26')
ridicule?               ('Jeremiah', '48', '27')
thieves,                ('Jeremiah', '48', '27')
haughtiness             ('Jeremiah', '48', '29')
futile,"                ('Jeremiah', '48', '30')
orchards                ('Jeremiah', '48', '33')
presses;                ('Jeremiah', '48', '33')
shelishiyah,            ('Jeremiah', '48', '34')
gods,"                  ('Jeremiah', '48', '35')
flute;                  ('Jeremiah', '48', '36')
wants,"                 ('Jeremiah', '48', '38')
wail!                   ('Jeremiah', '48', '39')
ridicule,               ('Jeremiah', '48', '39')
moab,"                  ('Jeremiah', '48', '43')
punishment,"            ('Jeremiah', '48', '44')
sihon;                  ('Jeremiah', '48', '45')
boasters.               ('Jeremiah', '48', '45')
ammonites:              ('Jeremiah', '49', '1')
heirs?                  ('Jeremiah', '49', '1')
gad?                    ('Jeremiah', '49', '1')
towns?                  ('Jeremiah', '49', '1')
ammonites;              ('Jeremiah', '49', '2')
"wail,                  ('Jeremiah', '49', '3')
rabbah!                 ('Jeremiah', '49', '3')
fruitful?               ('Jeremiah', '49', '4')
ammonites,"             ('Jeremiah', '49', '6')
edom:                   ('Jeremiah', '49', '7')
teman?                  ('Jeremiah', '49', '7')
prudent?                ('Jeremiah', '49', '7')
decayed?                ('Jeremiah', '49', '7')
bare;                   ('Jeremiah', '49', '10')
myself,"                ('Jeremiah', '49', '13')
cursing;                ('Jeremiah', '49', '13')
battle!"                ('Jeremiah', '49', '14')
eagle's,                ('Jeremiah', '49', '16')
horror;                 ('Jeremiah', '49', '17')
overthrown,             ('Jeremiah', '49', '18')
teman:                  ('Jeremiah', '49', '20')
bozrah.                 ('Jeremiah', '49', '22')
"hamath                 ('Jeremiah', '49', '23')
arpad                   ('Jeremiah', '49', '23')
disheartened,           ('Jeremiah', '49', '23')
feeble,                 ('Jeremiah', '49', '24')
ben-hadad."             ('Jeremiah', '49', '27')
attacked:               ('Jeremiah', '49', '28')
'terror                 ('Jeremiah', '49', '29')
side!'                  ('Jeremiah', '49', '29')
hazor,"                 ('Jeremiah', '49', '30')
"arise                  ('Jeremiah', '49', '31')
confidence,"            ('Jeremiah', '49', '31')
bars;                   ('Jeremiah', '49', '31')
booty.                  ('Jeremiah', '49', '32')
"hazor                  ('Jeremiah', '49', '33')
mainstay                ('Jeremiah', '49', '35')
elam's                  ('Jeremiah', '49', '36')
anger,"                 ('Jeremiah', '49', '37')
marduk                  ('Jeremiah', '50', '2')
terror.'                ('Jeremiah', '50', '2')
fathers.'               ('Jeremiah', '50', '7')
fill,"                  ('Jeremiah', '50', '10')
neigh                   ('Jeremiah', '50', '11')
horrified               ('Jeremiah', '50', '13')
surrenders,             ('Jeremiah', '50', '15')
sower,                  ('Jeremiah', '50', '16')
"search                 ('Jeremiah', '50', '20')
merathaim               ('Jeremiah', '50', '21')
pekod.                  ('Jeremiah', '50', '21')
destruction!            ('Jeremiah', '50', '22')
arsenal                 ('Jeremiah', '50', '25')
granaries;              ('Jeremiah', '50', '26')
bulls;                  ('Jeremiah', '50', '27')
refugees                ('Jeremiah', '50', '28')
ranks!                  ('Jeremiah', '50', '37')
leb                     ('Jeremiah', '51', '1')
kamai.                  ('Jeremiah', '51', '1')
fatally                 ('Jeremiah', '51', '4')
clouds.'                ('Jeremiah', '51', '9')
"sharpen                ('Jeremiah', '51', '11')
reinforce               ('Jeremiah', '51', '12')
watchmen,               ('Jeremiah', '51', '12')
ambush!                 ('Jeremiah', '51', '12')
treasures,              ('Jeremiah', '51', '13')
club,                   ('Jeremiah', '51', '20')
rider,                  ('Jeremiah', '51', '21')
zion,"                  ('Jeremiah', '51', '24')
burned-out              ('Jeremiah', '51', '25')
foundation,             ('Jeremiah', '51', '26')
kingdoms:               ('Jeremiah', '51', '27')
ararat,                 ('Jeremiah', '51', '27')
minni                   ('Jeremiah', '51', '27')
ashkenaz.               ('Jeremiah', '51', '27')
writhes,                ('Jeremiah', '51', '29')
fighting;               ('Jeremiah', '51', '30')
exhausted;              ('Jeremiah', '51', '30')
courier                 ('Jeremiah', '51', '31')
crossings               ('Jeremiah', '51', '32')
seized,                 ('Jeremiah', '51', '32')
terrified."             ('Jeremiah', '51', '32')
trampled;               ('Jeremiah', '51', '33')
jar.                    ('Jeremiah', '51', '34')
babylonia,"             ('Jeremiah', '51', '35')
laughter-               ('Jeremiah', '51', '39')
seized!                 ('Jeremiah', '51', '41')
swallowed.              ('Jeremiah', '51', '44')
"babylon                ('Jeremiah', '51', '49')
linger!                 ('Jeremiah', '51', '50')
fortifies               ('Jeremiah', '51', '53')
din.                    ('Jeremiah', '51', '55')
resound.                ('Jeremiah', '51', '55')
retribution;            ('Jeremiah', '51', '56')
"babylon's              ('Jeremiah', '51', '58')
nations'                ('Jeremiah', '51', '58')
flames."                ('Jeremiah', '51', '58')
babylon-all             ('Jeremiah', '51', '60')
fall.'"                 ('Jeremiah', '51', '64')
offerings-all           ('Jeremiah', '52', '19')
circumference;          ('Jeremiah', '52', '21')
hollow.                 ('Jeremiah', '52', '21')
exile:                  ('Jeremiah', '52', '28')
3,023                   ('Jeremiah', '52', '28')
jews;                   ('Jeremiah', '52', '28')
nebuchadnezzar's        ('Jeremiah', '52', '29')
832                     ('Jeremiah', '52', '29')
745                     ('Jeremiah', '52', '30')
4,600                   ('Jeremiah', '52', '30')
weeps                   ('Lamentations', '1', '2')
cheeks.                 ('Lamentations', '1', '2')
masters;                ('Lamentations', '1', '5')
ease.                   ('Lamentations', '1', '5')
pursuer.                ('Lamentations', '1', '6')
filthiness              ('Lamentations', '1', '9')
skirts;                 ('Lamentations', '1', '9')
astounding;             ('Lamentations', '1', '9')
triumphed."             ('Lamentations', '1', '9')
sanctuary-              ('Lamentations', '1', '10')
despised."              ('Lamentations', '1', '11')
by?                     ('Lamentations', '1', '12')
withstand.              ('Lamentations', '1', '14')
midst;                  ('Lamentations', '1', '15')
prevailed."             ('Lamentations', '1', '16')
bereaves;               ('Lamentations', '1', '20')
groaning,               ('Lamentations', '1', '21')
anger!                  ('Lamentations', '2', '1')
dishonor.               ('Lamentations', '2', '2')
strung                  ('Lamentations', '2', '4')
sabbaths;               ('Lamentations', '2', '6')
destroying.             ('Lamentations', '2', '8')
ramparts                ('Lamentations', '2', '8')
wine?"                  ('Lamentations', '2', '12')
ebb                     ('Lamentations', '2', '12')
mothers'                ('Lamentations', '2', '12')
oracles                 ('Lamentations', '2', '14')
misleading.             ('Lamentations', '2', '14')
planned;                ('Lamentations', '2', '17')
begin;                  ('Lamentations', '2', '19')
survived;               ('Lamentations', '2', '22')
reared,                 ('Lamentations', '2', '22')
hardship.               ('Lamentations', '3', '5')
crooked.                ('Lamentations', '3', '9')
hiding,                 ('Lamentations', '3', '10')
mangled                 ('Lamentations', '3', '11')
target                  ('Lamentations', '3', '12')
sated                   ('Lamentations', '3', '15')
gravel;                 ('Lamentations', '3', '16')
wandering,              ('Lamentations', '3', '19')
hope:                   ('Lamentations', '3', '21')
compassions             ('Lamentations', '3', '22')
dust-                   ('Lamentations', '3', '29')
pitfalls,               ('Lamentations', '3', '47')
unceasingly,            ('Lamentations', '3', '49')
plea:                   ('Lamentations', '3', '56')
relief."                ('Lamentations', '3', '56')
case;                   ('Lamentations', '3', '58')
cause!                  ('Lamentations', '3', '59')
mutter                  ('Lamentations', '3', '62')
luster,                 ('Lamentations', '4', '1')
dull!                   ('Lamentations', '4', '1')
hands!                  ('Lamentations', '4', '2')
heartless               ('Lamentations', '4', '3')
ostriches               ('Lamentations', '4', '3')
