--------------------  ------------------------------
32,000                ['Numbers', '31', '35']
32,500.               ['Numbers', '26', '37']
323                   ['Ezra', '2', '17']
324                   ['Nehemiah', '7', '23']
328                   ['Nehemiah', '7', '22']
34                    ['Genesis', '11', '16']
35                    ['Genesis', '11', '12']
350                   ['Genesis', '9', '28']
365                   ['Genesis', '5', '23']
37,000                ['1 Chronicles', '12', '34']
4,600                 ['Jeremiah', '52', '30']
40                    ['Ezekiel', '4', '6']
410                   ['Ezra', '1', '10']
420                   ['1 Kings', '9', '28']
43,730                ['Numbers', '26', '7']
44,760                ['1 Chronicles', '5', '18']
45                    ['Genesis', '6', '15']
45,400                ['Numbers', '26', '50']
45,600                ['Numbers', '26', '41']
454                   ['Ezra', '2', '15']
468                   ['Nehemiah', '11', '6']
5,400                 ['Ezra', '1', '11']
52,700                ['Numbers', '26', '34']
530                   ['Nehemiah', '7', '70']
56                    ['Ezra', '2', '22']
595                   ['Genesis', '5', '30']
6,200                 ['Numbers', '3', '34']
60                    ['Ezra', '8', '13']
60,500                ['Numbers', '26', '27']
601,730               ['Numbers', '26', '51']
61                    ['Numbers', '31', '39']
62                    ['1 Chronicles', '26', '8']
623                   ['Ezra', '2', '11']
628                   ['Nehemiah', '7', '16']
64,300                ['Numbers', '26', '25']
64,400                ['Numbers', '26', '43']
648                   ['Nehemiah', '7', '15']
650                   ['Ezra', '8', '26']
655                   ['Nehemiah', '7', '20']
667                   ['Nehemiah', '7', '18']
67                    ['Nehemiah', '7', '72']
675                   ['Numbers', '31', '37']
675,000               ['Numbers', '31', '32']
690                   ['1 Chronicles', '9', '6']
7,000                 ['1 Kings', '20', '15']
7,500                 ['Numbers', '3', '22']
70,000                ['2 Chronicles', '2', '18']
72                    ['Numbers', '31', '38']
72,000                ['Numbers', '31', '33']
721                   ['Nehemiah', '7', '37']
725                   ['Ezra', '2', '33']
730                   ['Exodus', '38', '24']
745                   ['Jeremiah', '52', '30']
75                    ['Genesis', '6', '15']
76,500                ['Numbers', '26', '22']
775                   ['Ezra', '2', '5']
777                   ['Genesis', '5', '31']
782                   ['Genesis', '5', '26']
8,580                 ['Numbers', '4', '48']
8,600.                ['Numbers', '3', '28']
80,000                ['2 Chronicles', '2', '18']
807                   ['Genesis', '5', '7']
815                   ['Genesis', '5', '10']
830                   ['Genesis', '5', '16']
832                   ['Jeremiah', '52', '29']
840                   ['Genesis', '5', '13']
845                   ['Nehemiah', '7', '13']
87,000                ['1 Chronicles', '7', '5']
895                   ['Genesis', '5', '17']
90                    ['Genesis', '5', '9']
90-106                ['Psalms', '89', '52']
905                   ['Genesis', '5', '11']
910                   ['Genesis', '5', '14']
912                   ['Genesis', '5', '8']
930                   ['Genesis', '5', '5']
945                   ['Ezra', '2', '8']
950                   ['Genesis', '9', '29']
956.                  ['1 Chronicles', '9', '9']
962                   ['Genesis', '5', '20']
969                   ['Genesis', '5', '27']
aaronic               ['2 Chronicles', '35', '14']
abaddon               ['Revelation', '9', '11']
abagtha               ['Esther', '1', '10']
abana                 ['2 Kings', '5', '12']
abandons              ['John', '10', '12']
abashed               ['Isaiah', '24', '23']
abda                  ['Nehemiah', '11', '17']
abda-in               ['1 Kings', '4', '6']
abdeel                ['Jeremiah', '36', '26']
abdiel                ['1 Chronicles', '5', '15']
abednego-who          ['Daniel', '3', '12']
abi-albon             ['2 Samuel', '23', '31']
abiasaph              ['Exodus', '6', '24']
abiathar-priests      ['1 Kings', '4', '4']
abiezrite             ['Judges', '6', '11']
abihud                ['1 Chronicles', '8', '3']
abilene               ['Luke', '3', '1']
abitub                ['1 Chronicles', '8', '11']
abnormally            ['1 Corinthians', '15', '8']
abolishing            ['Ephesians', '2', '15']
abounds               ['Habakkuk', '1', '3']
about-even            ['Leviticus', '5', '4']
about-food            ['Job', '15', '23']
absolute              ['1 Timothy', '5', '2']
abstained             ['Exodus', '31', '17']
abstains              ['Romans', '14', '6']
abused                ['Judges', '19', '25']
abutted               ['Ezekiel', '40', '18']
acacias               ['Joel', '3', '18']
accent                ['Matthew', '26', '73']
acceptably            ['Hebrews', '12', '28']
acclamation           ['2 Chronicles', '15', '14']
acco                  ['Judges', '1', '31']
accompanying          ['Numbers', '28', '7']
accomplice            ['Proverbs', '29', '24']
accorded              ['Genesis', '45', '13']
accounted             ['Ezra', '8', '34']
accounts-             ['Job', '21', '29']
accredited            ['Acts', '2', '22']
accumulate            ['Deuteronomy', '17', '17']
accurately            ['Acts', '18', '25']
achaicus              ['1 Corinthians', '16', '17']
achar                 ['1 Chronicles', '2', '7']
ache                  ['Proverbs', '14', '13']
achievement           ['Ecclesiastes', '4', '4']
achieving             ['2 Corinthians', '4', '17']
acquaintance          ['Philippians', '4', '15']
acquaintances         ['Job', '19', '13']
acquired-armlets      ['Numbers', '31', '50']
acquiring             ['Proverbs', '1', '3']
acquitted             ['Matthew', '12', '37']
acre                  ['1 Samuel', '14', '14']
actual                ['Deuteronomy', '21', '16']
adadah                ['Joshua', '15', '22']
adalia                ['Esther', '9', '8']
adamah                ['Joshua', '19', '36']
adami                 ['Joshua', '19', '33']
adders                ['Isaiah', '30', '6']
addi                  ['Luke', '3', '28']
addicted              ['Titus', '2', '3']
addresses             ['Hebrews', '12', '5']
adequately            ['Acts', '18', '26']
adhere                ['2 Kings', '17', '34']
adina                 ['1 Chronicles', '11', '42']
adithaim              ['Joshua', '15', '36']
adjourned             ['Acts', '24', '22']
adlai                 ['1 Chronicles', '27', '29']
admatha               ['Esther', '1', '14']
administered          ['Hebrews', '11', '33']
admirable             ['Philippians', '4', '8']
admonishing           ['Colossians', '1', '28']
adopt                 ['Job', '15', '5']
adoraim               ['2 Chronicles', '11', '9']
adore                 ['Song of Solomon', '1', '4']
adornment             ['1 Peter', '3', '3']
adramyttium           ['Acts', '27', '2']
adriatic              ['Acts', '27', '27']
adults                ['1 Corinthians', '14', '20']
advisable             ['1 Corinthians', '16', '4']
advocate              ['Job', '16', '19']
aenon                 ['John', '3', '23']
afar-                 ['Isaiah', '49', '12']
affect                ['Job', '35', '6']
affects               ['Job', '35', '8']
affirm                ['1 Timothy', '1', '7']
affixing              ['Nehemiah', '9', '38']
afflicting            ['2 Samuel', '24', '16']
afire                 ['Deuteronomy', '32', '22']
aflame                ['Isaiah', '13', '8']
afoot                 ['Acts', '14', '5']
afterbirth            ['Deuteronomy', '28', '57']
afterward-when        ['Genesis', '6', '4']
again.                ['John', '3', '3']
age-died              ['Joshua', '5', '4']
agee                  ['2 Samuel', '23', '11']
aggression            ['Isaiah', '14', '6']
aggressor             ['Isaiah', '16', '4']
aging                 ['Hebrews', '8', '13']
agitating             ['Acts', '17', '13']
agitators             ['Galatians', '5', '12']
agreeing              ['Revelation', '17', '17']
agreements            ['Hosea', '10', '4']
agur                  ['Proverbs', '30', '1']
aharah                ['1 Chronicles', '8', '1']
aharhel               ['1 Chronicles', '4', '8']
ahasbai               ['2 Samuel', '23', '34']
ahasuerus             ['Daniel', '9', '1']
ahban                 ['1 Chronicles', '2', '29']
aher                  ['1 Chronicles', '7', '12']
ahiah                 ['Nehemiah', '10', '26']
ahian                 ['1 Chronicles', '7', '19']
ahilud-in             ['1 Kings', '4', '12']
ahilud-recorder       ['1 Kings', '4', '3']
ahimaaz-in            ['1 Kings', '4', '15']
ahimoth               ['1 Chronicles', '6', '25']
ahinadab              ['1 Kings', '4', '14']
ahiram                ['Numbers', '26', '38']
ahiramite             ['Numbers', '26', '38']
ahishahar             ['1 Chronicles', '7', '10']
ahishar-in            ['1 Kings', '4', '6']
ahitub.yes            ['1 Samuel', '22', '12']
ahlab                 ['Judges', '1', '31']
ahoah                 ['1 Chronicles', '8', '4']
ahumai                ['1 Chronicles', '4', '2']
ahuzzam               ['1 Chronicles', '4', '6']
ahuzzath              ['Genesis', '26', '26']
ahzai                 ['Nehemiah', '11', '13']
ai-but                ['Joshua', '8', '9']
aiath                 ['Isaiah', '10', '28']
aija                  ['Nehemiah', '11', '31']
ails                  ['Job', '16', '3']
aimlessly             ['1 Corinthians', '9', '26']
air-                  ['Daniel', '4', '21']
air-for               ['Genesis', '6', '7']
airing                ['Proverbs', '18', '2']
akeldama              ['Acts', '1', '19']
akkad                 ['Genesis', '10', '10']
alamoth               ['1 Chronicles', '15', '20']
alcoves-three         ['Ezekiel', '40', '21']
algum                 ['2 Chronicles', '2', '8']
alienate              ['Galatians', '4', '17']
alive.do              ['1 Samuel', '14', '36']
all-and               ['Numbers', '16', '17']
all-night             ['Joshua', '10', '9']
all-on                ['Ezekiel', '40', '41']
all-surpassing        ['2 Corinthians', '4', '7']
allammelech           ['Joshua', '19', '26']
allegory              ['Ezekiel', '17', '2']
alleys                ['Luke', '14', '21']
allocate              ['Joshua', '13', '6']
allotting             ['Nehemiah', '9', '22']
allure                ['Hosea', '2', '14']
alluring              ['Nahum', '3', '4']
aloth                 ['1 Kings', '4', '16']
aloud-                ['Micah', '4', '9']
also-when             ['2 Kings', '5', '18']
altar-but             ['Joshua', '22', '26']
