------------------  --------------------
sethur              Numbers 13:13
nahbi               Numbers 13:14
vophsi              Numbers 13:14
geuel               Numbers 13:15
maki                Numbers 13:15
exploring           Numbers 13:25
disobeying          Numbers 14:41
presumption         Numbers 14:44
intentional         Numbers 15:25
unintentional       Numbers 15:26
tassel              Numbers 15:38
14700               Numbers 16:49
holiest             Numbers 18:29
product             Numbers 18:30
container           Numbers 19:15
grapevines          Numbers 20:5
atharim             Numbers 21:1
waheb               Numbers 21:14
suphah              Numbers 21:14
scepters            Numbers 21:18
sihons              Numbers 21:27
arnons              Numbers 21:28
nophah              Numbers 21:30
licks               Numbers 22:4
youno               Numbers 22:30
huzoth              Numbers 22:39
zophim              Numbers 23:14
resort              Numbers 24:1
sheth               Numbers 24:17
salu                Numbers 25:14
simeonite           Numbers 25:14
hanochite           Numbers 26:5
palluite            Numbers 26:5
carmite             Numbers 26:6
43730               Numbers 26:7
nemuelite           Numbers 26:12
jaminite            Numbers 26:12
jakinite            Numbers 26:12
shaulite            Numbers 26:13
22200               Numbers 26:14
zephonite           Numbers 26:15
haggite             Numbers 26:15
shunite             Numbers 26:15
ozni                Numbers 26:16
oznite              Numbers 26:16
erite               Numbers 26:16
arodite             Numbers 26:17
arelite             Numbers 26:17
shelanite           Numbers 26:20
perezite            Numbers 26:20
hamulite            Numbers 26:21
76500               Numbers 26:22
tolaite             Numbers 26:23
puite               Numbers 26:23
jashubite           Numbers 26:24
shimronite          Numbers 26:24
64300               Numbers 26:25
seredite            Numbers 26:26
elonite             Numbers 26:26
jahleelite          Numbers 26:26
60500               Numbers 26:27
makirite            Numbers 26:29
iezer               Numbers 26:30
iezerite            Numbers 26:30
helekite            Numbers 26:30
asrielite           Numbers 26:31
shechemite          Numbers 26:31
shemidaite          Numbers 26:32
hepherite           Numbers 26:32
52700               Numbers 26:34
shuthelahite        Numbers 26:35
bekerite            Numbers 26:35
tahanite            Numbers 26:35
eran                Numbers 26:36
eranite             Numbers 26:36
32500               Numbers 26:37
belaite             Numbers 26:38
ashbelite           Numbers 26:38
ahiram              Numbers 26:38
ahiramite           Numbers 26:38
shupham             Numbers 26:39
shuphamite          Numbers 26:39
hupham              Numbers 26:39
huphamite           Numbers 26:39
ardite              Numbers 26:40
naamite             Numbers 26:40
45600               Numbers 26:41
shuham              Numbers 26:42
64400               Numbers 26:43
imnite              Numbers 26:44
ishvite             Numbers 26:44
beriite             Numbers 26:44
heberite            Numbers 26:45
malkielite          Numbers 26:45
jahzeel             Numbers 26:48
jahzeelite          Numbers 26:48
gunite              Numbers 26:48
jezerite            Numbers 26:49
shillemite          Numbers 26:49
45400               Numbers 26:50
601730              Numbers 26:51
libnite             Numbers 26:58
hebronite           Numbers 26:58
mahlite             Numbers 26:58
mushite             Numbers 26:58
amrams              Numbers 26:59
23000               Numbers 26:62
commissioned        Numbers 27:23
accompanying        Numbers 28:7
obligate            Numbers 30:2
nullified           Numbers 30:12
relationships       Numbers 30:16
signaling           Numbers 31:6
675000              Numbers 31:32
72000               Numbers 31:33
32000               Numbers 31:35
675                 Numbers 31:37
72                  Numbers 31:38
61                  Numbers 31:39
communitys          Numbers 31:43
armlets             Numbers 31:50
crafted             Numbers 31:51
16750               Numbers 31:52
sebam               Numbers 32:3
beon                Numbers 32:3
shophan             Numbers 32:35
iyim                Numbers 33:45
barbs               Numbers 33:55
ziphron             Numbers 34:9
shemuel             Numbers 34:20
elidad              Numbers 34:21
kislon              Numbers 34:21
jogli               Numbers 34:22
shiphtan            Numbers 34:24
parnach             Numbers 34:25
azzan               Numbers 34:26
shelomi             Numbers 34:27
pedahel             Numbers 34:28
pollutes            Numbers 35:33
suph                Deuteronomy 1:1
tophel              Deuteronomy 1:1
dizahab             Deuteronomy 1:1
eliminated          Deuteronomy 2:15
zamzummites         Deuteronomy 2:20
maacathites         Deuteronomy 3:14
subtract            Deuteronomy 4:2
testings            Deuteronomy 4:34
siyon               Deuteronomy 4:48
impress             Deuteronomy 6:7
thrusting           Deuteronomy 6:19
fewest              Deuteronomy 7:7
eliminate           Deuteronomy 7:22
jaakanites          Deuteronomy 10:6
moserah             Deuteronomy 10:6
gudgodah            Deuteronomy 10:7
irrigated           Deuteronomy 11:10
foretells           Deuteronomy 13:1
arisen              Deuteronomy 13:13
roe                 Deuteronomy 14:5
ibex                Deuteronomy 14:5
falcon              Deuteronomy 14:13
hardhearted         Deuteronomy 15:7
tightfisted         Deuteronomy 15:7
grudging            Deuteronomy 15:10
liberally           Deuteronomy 15:14
anniversary         Deuteronomy 16:6
accumulate          Deuteronomy 17:17
jowls               Deuteronomy 18:3
omens               Deuteronomy 18:10
engages             Deuteronomy 18:10
presumes            Deuteronomy 18:20
presumptuously      Deuteronomy 18:22
centrally           Deuteronomy 19:2
located             Deuteronomy 19:2
instance            Deuteronomy 19:5
proves              Deuteronomy 19:18
heifers             Deuteronomy 21:4
wills               Deuteronomy 21:16
preference          Deuteronomy 21:16
actual              Deuteronomy 21:16
profligate          Deuteronomy 21:20
straying            Deuteronomy 22:1
emasculated         Deuteronomy 23:1
nocturnal           Deuteronomy 23:10
grainfield          Deuteronomy 23:25
kidnapping          Deuteronomy 24:7
kidnapper           Deuteronomy 24:7
persists            Deuteronomy 25:8
unsandaled          Deuteronomy 25:10
assailant           Deuteronomy 25:11
dishonestly         Deuteronomy 25:16
lagging             Deuteronomy 25:18
fieldstones         Deuteronomy 27:6
carves              Deuteronomy 27:15
inflammation        Deuteronomy 28:22
unsuccessful        Deuteronomy 28:29
ravish              Deuteronomy 28:30
begrudge            Deuteronomy 28:56
afterbirth          Deuteronomy 28:57
sealing             Deuteronomy 29:12
recited             Deuteronomy 31:30
howling             Deuteronomy 32:10
hovers              Deuteronomy 32:11
kicked              Deuteronomy 32:15
fathered            Deuteronomy 32:18
afire               Deuteronomy 32:22
glide               Deuteronomy 32:24
misunderstand       Deuteronomy 32:27
concede             Deuteronomy 32:31
cobras              Deuteronomy 32:33
vaults              Deuteronomy 32:34
reciting            Deuteronomy 32:45
myriads             Deuteronomy 33:2
skills              Deuteronomy 33:11
smite               Deuteronomy 33:11
gads                Deuteronomy 33:20
